Hannachi,Marwa,-,"Guelma, Algeria",Pseudoconvex hybridization of three descent vectors to build a new method of the conjugate gradient
Головко,Николай,Иванович,Владивосток,Дисперсия незавершенной работы в СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Головко,Николай,Иванович,Владивосток,Дисперсия числа заявок СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Голубков,Андрей,Александрович,Москва,Обратная задача Штурма-Лиувилля на кривой
Гончарова,Марина,Николаевна,Гродно,Применение остаточных условий оптимальности для решения класса задач оптимального быстродействия с фазовыми ограничениями
Гриценко,Светлана,Александровна,Москва,О модели фильтрации в пористых средах без периодической структуры
Гулина,Ольга,Валериевна,Минск,Современные информационные технологии в управлении и бизнесе
Гусева,Елена,Юрьевна,Воронеж,О наполненности некоторых подалгебр интегральных операторов
Дoдoнoв,Aртур,Eвгеньевич,Владимир,Оценка квазимногочлена
Даник,Юлия,Эдуардовна,Москва,Построение семейств стабилизирующих регуляторов для параметрических квазилинейных систем управления на основе Паде аппроксимаций
Додонов,Артур,Евгеньевич,Владимир,Оценка производной рациональной функции
Дубовицкий,Владимир,Абрамович,Черноголовка,Принцип максимума в задачах оптимального управления с полихроматизмом состояний
Думачев,Владислав,Николаевич,Воронеж,О решениях квадратичных сравнений
Ежак,Светлана,Сергеевна,Москва,Оценки первого собственного значения задачи Штурма-Лиувилля с потенциалами из весовых пространств
Елецких,Ирина,Адольфовна,Елец,О композиции операторов типа Романовского с частными интегралами
Елецких,Константин,Сергеевич,Елец,Краевая задача для уравнения Эйлера - Пуассона - Дарбу с отрицательным параметром оператора Бесселя по времени
Елисеев,Александр,Георгиевич,Москва,О регуляризованной асимптотике задачи Коши при наличии «слабой» точки поворота у предельного оператора
Елисеев,Александр,Георгиевич,Москва,Регуляризованное решение сингулярно возмущенной задачи Коши при наличии «слабой» точки поворота
Ерусалимский,Яков,-,Михайлович,Новые виды ограничений на достижимость на ориентированных графах
Жуйков,Константин,Николаевич,Москва,Формула индекса для одного класса квантовых графов
Зайцева,Наталья,Владимировна,Казань,Построение решений некоторых гиперболических дифференциально-разностных уравнений
Зверева,Маргарита,Борисовна,Воронеж,Задача о струне с нелинейным условием
Злобина,Анастасия,Александровна,Москва,О второй начально-краевой задаче для параболической системы с постоянными коэффициентами в полуограниченной негладкой области на плоскости.
Зубков,Павел,Валерьевич,Москва,"Задача наилучшего продолжения периодической функции в пространствах с весом, имеющим особенность на границе"
Зубков,Павел,Валерьевич,Москва,Оптимальное управление в задаче сложного теплообмена
Иванова,Елена,Павловна,москва,Методы решения дифференциально-разностных уравнений с несоизмеримыми сдвигами аргументов
Ивановский,Леонид,Игоревич,Ярославль,Устойчивые колебательные решения в цепочках с диффузионным взаимодействием и дополнительной внутренней связью
Иноземцев,Алексей,Иванович,Липецк,Непрерывность действия оператора с многомерными частными интегралами в анизотропных пространствах функций
Ишкин,Хабир,Кабирович,Уфа,"Условия локализации спектра операторов, далеких от самосопряженных"
Каверина,Валерия,Константиновна,Москва,Метод замороженных коэффициентов в условиях Гёльдера
Калитвин,Владимир,Анатольевич,Липецк,Об алгоритмах численного решения одного класса уравнений с частными интегралами
Калманович,Вероника,Валерьевна,Калуга,Об использовании метода Фурье для решения одной нестационарной задачи теплопроводности в многослойной среде
Карулина,Елена,Сергеевна,Москва,Осцилляционные свойства одной задачи четвертого порядка
Касимов,Шакирбай,Гаппарович,Ташкент,"Об однозначной разрешимости начально-граничной задачи колебаний балки, один конец который заделан, а другой плавающий, в классах Соболева в многомерном случае"
Кащенко,Александра,Андреевна,Ярославль,Зависимость динамики одной модели связанных осцилляторов от знака диффузии
Кильдибаева,Светлана,Рустамовна,Стерлитамак,Математическое моделирование динамики распространения многофазной струи
Киричек,Виталия,Александровна,Самара,Исследование разрешимости нелокальной задачи для гиперболического уравнения
Клейменова,Евгения,Викторовна,Липецк,Вариативный подход к построению курса математики для студентов экономического профиля
Ковалева,Марина,Игоревна,Воронеж,Приложение уравнения Навье- Стокса в экономике
Колесников,Ирина,Анатольевна,Москва,О вариационном принципе для некоторого класса эволюционных дифференциально-разностных операторов
Колесникова,Ирина,Анатольевна,Москва,О вариационном принципе для некоторого класса эволюционных дифференциально-разностных операторов
Коробецкая,Юлия,Ивановна,Владивосток,Дисперсия незавершенной работы в СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Коробецкая,Юлия,Ивановна,Владивосток,Дисперсия числа заявок в СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Коровина,Мария,Викторовна,Москва,Построение асимптотик решений линейных дифференциальных уравнений в окрестностях иррегулярных особых точек
Короткий,Владимир,Адамович,Ярославль,"Математическая модель начала Великой Отечественной Войны и плана операции ""Барбаросса"""
Корчемкина,Татьяна,Александровна,Москва,О поведении решений уравнения третьего порядка со степенной нелинейностью общего вида
Костенко,Игорь,Петрович,Краснодар,О педагогических взглядах Ю. В. Покорного
Костин,Дмитрий,Владимирович,Воронеж,Об одном способе цифровой демодуляции сигналов
Костина,Татьяна,Ивановна,Воронеж,Об одной модели волнового твердотельного гироскопа
Костоусов,Виктор,Борисович,Екатеринбург,Оптимальное движение обьекта в окружении недружественных наблюдателей
Коструб,Ирина,Дмитриевна,г. Воронеж,Метод замороженных коэффициентов в условиях Гёльдера
Кривошеева,Олеся,Александровна,Уфа,Критерий справедливости фундаментального принципа в инвариантном подпространстве в случае неограниченной области
Крымов,Никита,Евгеньевич,Москва,"О корректности одной нестандартной краевой задачи, возникающей при осреднении задач сложного теплообмена"
Кужаев,Арсен,Фанилевич,Уфа,Полнота систем экспонент
Кузнецов,Сергей,Федорович,Воронеж,Точное решение краевой задачи диффузии
Кулаев,Руслан,Черменович,Владикавказ,Задача о ступеньке для системы Вольтерра
Куликов,Владимир,Александрович,Ярославль,Исследование пространственно-неоднородных волн в начально-краевой задаче для нелинейного параболического уравнения с оператором поворота пространственного аргумента и запаздыванием
Кунаковская,Ольга,Вениаминовна,Воронеж,"1. Кунаковская О.В., Долгополов Д.М. (Воронеж, ВГУ) Топологические индексы в механике разрушения. 2. Кунаковская О.В., Мозула А.С. (Воронеж, ВГУ) Топологические индексы в теории кристаллических сред."
Курбатов,Виталий,Геннадьевич,Воронеж,О функции Грина задачи об ограниченных решениях
Курбатова,Ирина,Витальевна,Воронеж,О функции Грина задачи об ограниченных решениях
Кыров,Владимир,Александрович,Горно-Алтайск,К вопросу о расширении группы параллельных переносов
Леонов,Александр,Сергеевич,Москва,Апостериорная оценка точности решений обратных задач нахождения источника в линейных уравнениях в частных производных
Леонов,Сергей,Сергеевич,Москва,Методы прохождения предельных особых точек при численном решении систем обыкновенных дифференциальных уравнений
Лийко,Виктория,-,Москва,Смешанные краевые задачи для сильно эллиптических дифференциально-разностных уравнений
Литвинов,Дмитрий,Анатольевич,Воронеж,Решение дифференциального уравнения на сетях с краевыми условиями
Лобода,Александр,Васильевич,г. Воронеж,Об однородных гиперповерхностях 4-мерных комплексных пространств
Ломакин,Денис,Евгеньевич,Орёл,К вопросу о виде решений дифференциально-операторных уравнений в линейных топологических пространствах
Ломов,Игорь,Сергеевич,Москва,Метод А.П. Хромова решения смешанной задачи для телеграфного уравнения. Реабилитация метода Фурье.
Ломовцев,Фёдор,Егорович,Минск,О методе корректировки пробных решений одномерного волнового уравнения в криволинейной четверти плоскостии
Ляхов,Лев,Николаевич,Воронеж,В-гармоническое уравнение в шаре
Мадрахимов,Умрбек,Собирович,Ташкент,"Об однозначной разрешимости начально-граничной задачи колебаний балки, один конец который заделан, а другой плавающий, в классах Соболева в многомерном случае"
Максимов,Владимир,Петрович,Пермь,Управление непрерывно-дискретными функционально-дифференциальными системами: методы и приложения
Мартемьянова,Нина,Викторовна,Самара,Обратная задачи для уравнения эллиптико-гиперболического типа в прямоугольной области
Мартьянов,Иван,Анатольевич,Тула,Взаимосвязь между константами Никольского–Бернштейна для тригонометрических полиномов и целых функций экспоненциального типа
Меерсон,Алла,Юрьевна,Москва,"Поиск оптимальности в модели экономического роста с производственной функцией, зависящий от мощности"
Миронов,Алексей,Николаевич,Елабуга,Граничные задачи для факторизованных гиперболических уравнений
Мифтахов,Эльдар,Наилевич,Ишимбай,О решении прямых задач процессов полимеризации в присутствии полицентровых каталитических систем
Можарова,Татьяна,Николаевна,Орел,К вопросу о виде решений дифференциально-операторных уравнений в линейных топологических пространствах
Мустафокулов,Рахмонкул,-,Душанбе,Исследование одного линейного дифференциального уравнения типа Эйлера n-го порядка
Мустафокулов,Рахмонкул,-,Душанбе,Решение немодельного уравнения типа Эйлера n-го порядка
Наимов,Алижон,Набиджанович,Вологда,О разрешимости периодической задачи для одного класса систем нелинейных обыкновенных дифференциальных уравнений
Нестеров,Андрей,Владимирович,Москва,Асимптотика решения  задачи Коши для сингулярно возмущенного дифференциально-операторного уравнения переноса с малыми диффузией и нелинейностьюн
Нефедов,Николай,Николаевич,Москва,О стабилизации решений начально-краевых задач ждя уравнения реакция-диффузия-адвекция
Никитина,Александра,Александровна,Липецк,Изоморфизм классов функций Бесова-Киприянова
Нуров,Исхокбой,Джумаевич,Душанбе,Априорные оценки периодических и ограниченных решений дифференциального уравнения второго порядка
Орлов,Сергей,Сергеевич,Иркутск,Разрешимость начальной задачи типа Коши для дифференциального уравнения дробного порядка в банаховых пространствах
Перескоков,Александр,Вадимович,Москва,Асимптотика спектра двумерного оператора типа Хартри вблизи верхних границ спектральных кластеров
Переходцева,Эльвира,Викторовна,Москва,Статистическая модель прогноза возникновения сильных смерчей на европейской территории России и анализ их повторяемости с использованием спутниковых данных
Перов,Анатолий,Иванович,г. Воронеж,Метод замороженных коэффициентов в условиях Гёльдера
Пирматов,Шамшод,Тургунбоевич,Ташкент,Необходимые условия суммируемости спектральных разложений по собственным функциям оператора Бесселья
Пискарев,Сергей,Игоревич,Moscow,Аппроксимация дробных уравнений в банаховом пространстве
Плаксина,Вера,Павловна,Пермь,О разрешимости одной многоточечной краевой задачи
Плаксина,Ирина,Михайловна,Пермь,О разрешимости одной сингулярной краевой задачи
Половинкин,Игорь,Петрович,Воронеж,Геометрические свойства некоторых уравнений в частных производных
Половинкина,Марина,Васильевна,Воронеж,Восстановление сингулярного дифференциального оператора по неполным спектральным данным
Полупанов,Дмитрий,Васильевич,Уфа,"Полупанов Д.В., Абдюшева С.Р. Оценка чувствительности нейронных сетей к возмущениям входных данных"
Попов,Михаил,Иванович,Воронеж,Повышение точности численного решения краевых задач для уравнений в частных производных
Попов,Никита,Владимирович,Москва,Об операторе дробного дифференцирования по Вейлю.
Прокопьева,Дина,Борисовна,Владивосток,Дисперсия числа заявок СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Пулькина,Людмила,Степановна,Самара,Нелокальные задачи для уравнений в частных производных
Раджабов,Нусрат,Раджабович,Душанбе,К теории интегральных уравнений Вольтерра третьего рода с сингулярными ядрами
Раецкая,Елена,Владимировна,Воронеж,Решение задачи управления для динамической системы в частных производных
Райцин,Аркадий,Михайлович,Москва,Применение оптического делителя лазерного излучения в информационно-измерительных системах
Ратникова,Татьяна,Анатольевна,Москва,О регуляризованной асимптотике решения задачи Коши при наличии «простой» рациональной точки поворота у предельного оператора
Ратникова,Татьяна,Анатольевна,Москва,Регуляризованное решение системы уравнений при наличии рациональной «простой» точки поворота
Раутиан,Надежда,Александровна,Москва,Полугруппы для вольтерровых интегро-дифференциальных уравнений
Рогачев,Владимир,Викторович,Москва,О существовании решений уравнения типа Эмдена - Фаулера высокого порядка с заданным числом нулей
Рощупкин,Сергей,Александрович,Елец,В-гармоническое уравнение в шаре
Рудалев,Валерий,Геннадьевич,Воронеж,Статистическая квазиоптимальная оценка структуры биологических популяций
Рустамова,Самира,Октай,Баку,Смешанная задача для одномерного волнового уравнения с динамическим граничным условием
Рустанов,Алигаджи,Рабаданович,г. Московский,Дифференциальная геометрия псевдокосимплектических многообразий
Рыхлов,Виктор,Сергеевич,Саратов,О существовании и единственности решения смешанной задачи для уравнения гиперболического типа при отсутствии кратной полноты системы корневых функций
Рябов,Павел,Евгеньевич,Москва,Бифуркации торов Лиувилля в интегрируемых системах с двумя и тремя степенями свободы
Савин,Антон,Юрьевич,Москва,О гомотопической классификации нелокальных эллиптических задач на многообразиях с цилиндрическими концами
Савин,Антон,Юрьевич,Москва,О гомотопической классификации нелокальных эллиптических операторов на многообразиях с цилиндрическими концами
Садыгова,Нигяр,-,Москва,Колебания балки на границе потока жидкости
Самсонов,Антон,Андреевич,Казань,Исследование задачи о собственных колебаниях струны с присоединенным грузом
Сарсенби,Абдижахан,Манапович,Шымкент,Сходимость разложений по собственным функциям дифференциального оператора второго порядка с инволюциейфункциям
Сарсенби,Абдисалам,Абдижаханович,Шымкент,Сходимость разложений по собственным функциям дифференциального оператора второго порядка с инволюцией
Сахаров,Сергей,Игоревич,Москва,Контактная задача для параболического уравнения с Дини-непрерывными коэффициентами
Семенов,Кирилл,Владимирович,Москва,Классическое фундаментальное решение для одномерного параболического уравнения с непрерывными коэффициентами
Семенова,Татьяна,Юрьевна,Москва,Оценка для норм функций в пространствах с весами специального вида
Сергазы,Галимжан,-,Москва,Анализ многомерных временных рядов методом эмпирической декомпозиции
Серегина,Елена,Владимировна,Калуга,О проекционном методе нахождения моментных функций решения уравнения диффузии со случайными коэффициентами
Симонов,Пётр,Михайлович,Пермь,К вопросу об устойчивости системы двух линейных гибридных функционально-дифференциальных систем с последействием
Снегур,Максим,Олегович,Пенза,Метод оператор-функций в задаче о вытекающих волнах неоднородного волновода
Соколова,Галина,Константиновна,Иркутск,Оценки множеств периодов суммы и произведения периодических функций нескольких переменных
Солиев,Юнус,Солиевич,Москва,О квадратурных формулах с кратными узламидля особых интегралов по действительной оси с периодическими плотностями
Соловьёв,Павел,Сергеевич,Казань,Сеточная аппроксимация нелинейной самосопряженной спектральной задачи
Соломатин,Олег,Дмитриевич,Орел,К вопросу о виде решений дифференциально-операторных уравнений в линейных топологических пространствах
Старинец,Владимир,Васильевич,Москва,Сингулярный оператор Штурма-Лиувилля в пространстве с индефинитной метрикой с критическими точками на границах бесконечного интервала
Степович,Михаил,Адольфович,Калуга,"Об использовании качественных методов математического моделирования для оценки результатов диффузии неравновесных неосновных носителей заряда, генерированных широким пучком электронов в планарных полупроводниковых структурах"
Сумин,Владимир,Иосифович,Нижний Новгород,Вольтерровы функциональные уравнения в теории оптимизации распределенных систем
Тельнова,Мария,Юрьевна,Москва,On estimates for the first eigenvalue of a Sturm-Liouville problem
Терехин,Павел,Александрович,Саратов,"Фреймы, порожденные воспроизводящими ядрами функциональных пространств"
Тинюкова,Татьяна,Сергеевна,Ижевск,Возникновение и эволюция локализованных состояний вблизи примеси для р-волновой сверхпроводящей нанопроволоки
Тихонов,Юрий,Андреевич,Москва,"Об аналитичности операторной полугруппы, возникающей в задачах теории вязкоупругости."
Тлячев,Вячеслав,Бесланович,Майкоп,О периодических решениях уравнения Рэлея
Томин,Николай,Григорьевич,Иваново,"Томин Н.Г., Томина И.В. О спектральных свойствах одного класса дискретных операторов"
Томина,Ирина,Валентиновна,Иваново,"Томин Н.Г., Томина И.В. О спектральных свойствах одного класса дискретных операторов"
Трусова,Наталья,Ивановна,Липецк,Ограниченность частных интегралов с ядрами разной размерности
Туртин,Дмитрий,Витальевич,Иваново,О решении нестационарной задачи теплопроводности в многослойной среде методом интегральных представлений
Тырсин,Александр,Николаевич,Екатеринбург,Взаимосвязь между энтропийным моделированием и корреляционным анализом
Усков,Владимир,Игоревич,Воронеж,Асимптотическое решение уравнения первого порядка с малым параметром при старшей производной
Ускова,Наталья,Борисовна,Воронеж,Спектральные свойства бесконечной блочной матрицы
Ускова,Ольга,Федоровна,Воронеж,Перегрузка функций программной реализации математических алгоритмов на языке С++
Ушхо,Адам,Дамирович,Майкоп,О периодических решениях уравнения Рэлея
Ушхо,Дамир,Салихович,Майкоп,О периодических решениях уравнения Рэлея
Фархадова,Етер,Музакир,Баку,Исследования математической модели колебаний моста имеющий общую точку контакта с кабелем
Федоров,Константин,-,Москва,Первая начально-краевая задача для уравнения теплопроводности в негладкой области на плоскости
Федоров,Константин,Дмитриевич,Москва,О первой начально-краевой задаче теплопроводности в области с криволинейными боковыми границами
Федоров,Константин,Дмитриевич,Москва,О первой начально-краевой задаче теплопроводности в области с негладкими боковыми границами
Фомин,Василий,Ильич,Тамбов,О коммутирующих операторах
Фомин,Василий,Ильич,Тамбов,О линейном дифференциальном уравнении второго порядка с постоянными неограниченными операторными коэффициентами в банаховом пространстве
Фролова,Евгения,Сергеевна,Владивосток,Дисперсия незавершенной работы в СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Фролова,Елена,Валерьевна,Липецк,Операторы с частными интегралами в некоторых пространствах функций
Хабибуллин,Булат,Нурмиевич,Уфа,Полнота экспоненциальных систем в пространствах функций и смешанные объёмы
Хаитбоев,Гайрат,Сабурбоевич,Ташкент,Многомерный аналог теоремы А.Н. Тихонова о вычислении значений функции по приближенно заданным коэффициентами Фурье
Хамидуллина,Зульфия,Абударовна,г. Уфа,Соответствии структуры механизма сложной химической реакции с матрицей связей
Харитонова,Светлана,Владимировна,Оренбург,Дифференциальная геометрия псевдокосимплектических многообразий
Харламова,Ирина,Ивановна,Волгоград,Об одной задаче определения времени достижения заданных характеристик объекта
Хасанов,Юсуфали,Хасанович,Душанбе,О сходимости рядов в топологических пространствах
Хацкевич,Владимир,Львович,Воронеж,Средние характеристики нечетко-случайных величин и их экстремальные свойства
Хромов,Август,Петрович,Саратов,Обоснование метода Фурье и расходящиеся ряды
Хуштова,Фатима,Гидовна,Нальчик,Краевая задача для дифференциального уравнения с оператором Бесселя и частной дробной производной
Царьков,Игорь,Германович,Москва,О связности солнц
Цветков,Денис,Олегович,Симферополь,"О малых движениях и нормальных колебаниях многослойной жидкости, покрытой льдом"
Цехан,Ольг а,Борисовна,Гродно,О расщепляющем преобразовании нестационарной сингулярно возмущенной системы с запаздыванием
Черепова,Марина,Федоровна,г Москва,О единственности решения первой и второй начально-краевых задач для параболических систем в ограниченной области
Чернов,Андрей,Владимирович,Нижний Новгород,Об управляемости полулинейного эволюционного уравнения с максимальным монотонным оператором
Чернышов,Александр,Данилович,Воронеж,Компактное решение решение тригонометрических интерполяционных систем с возможностью их дифференцирования при использовании метода быстрых разложений
Черняев,Александр,Петрович,Москва,"Поиск оптимальности в модели экономического роста с производственной функцией, зависящей от мощности"
Шабров,Сергей,Александрович,Воронеж,Об одной математической модели с негладкими решениями
Шаброва,Марина,Вячеславовна,Воронеж,Об одной математической модели с негладкими решениями
Шабуров,Александр,Александрович,Екатеринбург,Задача о построении асимптотики оптимального управления для задачи управления системой точек малой массы в среде без сопротивления.
Шамолин,Максим,Владимирович,Москва,Интегрируемые системы высокого порядка с диссипацией
Шамраева,Виктория,Викторовна,Москва,Оптимизация параметров восстановительного цикла сложной технической системы с учётом остаточного ресурса
Шананин,Николай,Алексеевич,Москва,К продолжению решений уравнений с двукратными характеристиками.
Шафиева,Гюльшан,Халик,Баку,Смешанная задача с акуститеским условием сопряжения для одномерного волнового уравнения с сильной диссипацией
Шелковой,Александр,Николаевич,Воронеж,Функция Грина в одной краевой задаче о продольном изгибе тяжёлых стержней
Шеметова,Валентина,Владимировна,Иркутск,Построение решений в классе распределений дифференциально-операторных уравнений дробного порядка
Шестопалов,Юрий,Викторович,Евле,Spectra of nonselfadjoint boundary value problems and resonance scattering
Шубарин,Михаил,Александрович,Ростов-на-Дону,Вариации на тему гипотезы Бессаги
Юлдашева,Асал,Викторовна,Ташкент,Об одной задаче для уравнения типа Буссинеска
Яворский,Василий,Михайлович,Липецк,Анализ и визуализация данных средствами web-технологий.
